-33.775, 59.416, 99.568
-31.775, 59.404, 99.491
-29.775, 59.398, 99.403
-27.775, 59.398, 99.302
-25.775, 59.406, 99.188
-23.775, 59.423, 98.937
-21.775, 59.453, 98.813
-19.776, 59.497, 98.636
-17.777, 59.558, 98.695
-15.778, 59.635, 99.555
-13.78, 59.72, 99.006
-11.781, 59.797, 98.348
-9.782, 59.855, 98.243
-7.783, 59.89, 98.538
-5.783, 59.906, 98.893
-3.783, 59.907, 99.206
-1.783, 59.895, 99.334
0.217, 59.875, 99.444
2.217, 59.847, 99.537
4.217, 59.813, 99.68
6.216, 59.774, 99.68
8.216, 59.73, 99.733
10.215, 59.683, 99.777
12.215, 59.634, 99.813
14.214, 59.582, 97.245
16.213, 59.528, 94.597
18.213, 59.471, 91.872
20.212, 59.418, 89.065
22.212, 59.446, 86.166
24.211, 59.45, 83.166
26.211, 59.42, 80.054
28.209, 59.328, 76.815
30.203, 59.186, 73.435
32.192, 58.978, 69.891
34.17, 58.685, 66.159
36.127, 58.278, 62.203
38.046, 57.72, 57.979
39.895, 56.964, 53.424
41.594, 55.918, 48.452
42.993, 54.502, 42.916
43.842, 52.702, 51.409
44.047, 50.719, 68.535
43.733, 48.747, 75.739
43.106, 46.851, 85.751
42.279, 45.031, 89.01
41.318, 43.277, 93.33
40.26, 41.581, 94.765
39.139, 39.925, 95.886
37.97, 38.302, 96.776
36.765, 36.706, 97.497
35.532, 35.131, 98.094
34.278, 33.573, 98.598
33.009, 32.027, 99.034
31.73, 30.49, 99.423
30.444, 28.958, 99.779
29.155, 27.429, 99.886
27.866, 25.9, 99.56
26.579, 24.369, 99.233
25.299, 22.832, 98.896
24.027, 21.288, 98.538
22.768, 19.735, 98.148
21.524, 18.169, 97.714
20.298, 16.589, 97.539
19.717, 14.698, 99.108
19.26, 12.751, 98.932
18.815, 10.801, 98.729
18.385, 8.848, 98.495
17.973, 6.891, 98.226
17.585, 4.929, 97.565
17.224, 2.962, 97.162
16.894, 0.989, 96.705
16.601, -0.989, 95.607
16.362, -2.975, 94.957
16.176, -4.966, 94.237
16.068, -6.963, 92.592
16.046, -8.962, 90.722
16.131, -10.96, 88.762
16.349, -12.948, 87.819
16.719, -14.913, 86.196
17.261, -16.837, 84.992
17.981, -18.702, 85.292
18.873, -20.492, 86.436
19.918, -22.196, 88.181
21.094, -23.813, 90.211
22.373, -25.35, 92.249
23.731, -26.818, 94.108
25.149, -28.228, 95.066
26.667, -29.514, 92.37
28.411, -30.492, 92.283
30.109, -31.549, 92.184
31.748, -32.694, 91.935
33.328, -33.92, 91.776
34.846, -35.221, 91.363
36.286, -36.609, 89.615
37.654, -38.068, 86.735
38.925, -39.611, 83.756
40.103, -41.226, 80.667
41.169, -42.918, 77.455
42.099, -44.688, 74.104
42.875, -46.53, 70.595
43.46, -48.441, 66.903
43.806, -50.409, 62.997
43.834, -52.406, 58.834
43.445, -54.362, 54.358
42.549, -56.14, 49.489
41.156, -57.561, 55.449
39.4, -58.504, 64.339
37.472, -59.018, 73.366
35.481, -59.178, 100
33.481, -59.19, 100
31.481, -59.201, 100
29.481, -59.212, 100
27.481, -59.223, 100
25.481, -59.234, 100
23.481, -59.245, 100
21.481, -59.256, 100
19.481, -59.267, 100
17.481, -59.278, 100
15.481, -59.289, 100
13.481, -59.3, 100
11.481, -59.311, 100
9.481, -59.322, 100
7.481, -59.333, 100
5.481, -59.344, 100
3.481, -59.355, 100
1.481, -59.366, 100
-0.518, -59.365, 100
-2.515, -59.247, 100
-4.511, -59.128, 100
-6.508, -59.01, 100
-8.504, -58.892, 100
-10.501, -58.774, 100
-12.497, -58.656, 97.964
-14.494, -58.538, 95.336
-16.49, -58.42, 92.634
-18.487, -58.302, 89.85
-20.484, -58.184, 86.977
-22.48, -58.066, 84.006
-24.477, -57.948, 80.926
-26.473, -57.83, 77.724
-28.47, -57.712, 74.384
-30.466, -57.593, 70.887
-32.463, -57.475, 67.209
-34.459, -57.357, 63.317
-36.456, -57.239, 59.169
-38.375, -56.81, 54.786
-40.176, -55.942, 49.936
-41.925, -54.973, 44.562
-43.59, -53.867, 38.444
-45.08, -52.537, 31.156
-46.167, -50.871, 21.575
-46.394, -48.91, 31.867
-45.682, -47.054, 67.403
-44.502, -45.443, 81.515
-43.122, -43.996, 92.782
-41.653, -42.639, 96.958
-40.146, -41.324, 99.895
-38.629, -40.021, 97.788
-37.121, -38.708, 96.742
-35.64, -37.363, 94.718
-34.202, -35.974, 92.638
-32.821, -34.527, 90.39
-31.525, -33.004, 89.188
-30.334, -31.399, 86.668
